Trace,Search,Category,State,Event start,End,baseline pa,peak amp,time to peak,time of peak,antipeak a,time to antipeak,time of antipeak,half width,half amplitude,time to rise,time to decay,rise tau,decay tau,max rise slope,time to max rise slope,max decay,time to max decay slope,rise slope 10% to 90%,decay slope 90% to 10%,decay time,area pH,area pA,instant freq,interevent interval,sd of fit,template
2,1,1,A,2647.600098,2649,1.991999984,-38.00274277,0.699707031,2648.299805,-2.602351665,0,2647.600098,Not found,-19.00137138,0.21409148,Not found,0.395544052,0.521933973,-85.78431702,0.149902344,30.63725471,0.450195313,-76.32907104,0.428314716,Not found,Not found,-39.40999603,2.948115826,339.199707,N/A,N/A
2,1,1,A,2743,2745.200195,1.991999984,-50.82012558,1.200195313,2744.200195,-13.58867931,0,2743,Not found,-25.41006279,0.29193747,Not found,1.601014614,1.319043517,-49.01960754,0.25,36.76470566,0.549804688,Not found,Not found,Not found,Not found,-80.07085419,10.42748642,95.90039063,N/A,N/A
2,1,1,A,2810.5,2811.899658,1.991999984,-33.11993027,0.600097656,2811.100098,-14.19903088,0,2810.5,Not found,-16.55996513,Not found,Not found,0.678061545,0.223009154,-42.68292618,0.150146484,24.50980377,0.649902344,Not found,Not found,Not found,Not found,-39.21054077,14.94770527,66.89990234,N/A,N/A
2,1,1,A,2945,2946.399658,1.991999984,-33.11993027,0.799804688,2945.799805,-20.30254745,0,2945,Not found,-16.55996513,Not found,Not found,1.360355377,0.218176857,-24.39024353,0.050048828,24.50980377,0.450195313,Not found,Not found,Not found,Not found,-39.88228607,7.423921108,134.699707,N/A,N/A
2,1,1,A,2995.5,2997.300293,1.991999984,-39.22344589,1,2996.5,-16.64043808,0,2995.5,Not found,-19.61172295,Not found,Not found,0.644256115,0.779739261,-42.68292618,0.150146484,30.48780441,0.349853516,Not found,Not found,Not found,Not found,-56.26685333,19.72378922,50.70019531,N/A,N/A
2,1,1,A,3232.099609,3233.399658,1.991999984,-39.83379745,0.600585938,3232.700195,-8.095515251,0,3232.099609,Not found,-19.91689873,0.131665155,Not found,0.29228431,0.326861322,-91.01941681,0.050292969,36.76470566,0.549804688,Not found,Not found,Not found,Not found,-40.53770065,4.233698845,236.2000885,N/A,N/A
2,1,1,A,3364,3365.899658,1.991999984,-47.76836777,1.200195313,3365.200195,-16.64043808,0,3364,Not found,-23.88418388,0.148244604,Not found,3.248353243,0.399834484,-49.01960754,0.950195313,49.01960754,0.549804688,Not found,Not found,Not found,Not found,-66.14618683,7.547163486,132.5001068,N/A,N/A
2,1,1,A,3667.800049,3669.599609,1.991999984,-42.88555527,0.700195313,3668.500244,-12.36797619,0,3667.800049,Not found,-21.44277763,0.139116377,Not found,0.467389017,2.717759132,-66.74757385,0.050292969,24.50980377,0.75,Not found,Not found,Not found,Not found,-59.79000854,3.297065496,303.2999878,N/A,N/A
2,1,1,A,3671,3672.500977,1.991999984,-53.26153183,0.599609375,3671.599609,-16.64043808,0,3671,Not found,-26.63076591,0.130993292,Not found,0.519559801,1.23688066,-85.78431702,0.25,42.89215851,0.450195313,Not found,Not found,Not found,Not found,-58.74055481,322.6416321,3.09941411,N/A,N/A
2,1,1,A,3700.5,3701.899658,1.991999984,-36.17168808,0.5,3701,-16.64043808,0,3700.5,Not found,-18.08584404,Not found,Not found,0.262539417,0.488213629,-67.40196228,0.049804688,24.50980377,0.549804688,Not found,Not found,Not found,Not found,-42.81334305,34.01315308,29.40039063,N/A,N/A
